"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse.spring","df","logLik","AICc","delta","weight"
"41",0.455879191342378,NA,NA,NA,-0.901412617721872,NA,0.943504482998168,NA,1.66150525777576,4,-5423.58084216738,10855.1769282372,701.665519859302,2.09357688680353e-153
"101",-2.80628871025603,NA,NA,-0.172718473315937,NA,NA,1.08223059320917,0.028527604105866,1.68573498235937,5,-5461.64268057769,10933.3082357265,779.796827348599,2.264076316544e-170
"97",-3.1256837707684,NA,NA,NA,NA,NA,1.09822056573683,0.0285890288703877,1.69075482816247,4,-5469.45978359304,10946.9348110885,793.423402710632,2.48838639545727e-173
"53",1.14738250302026,NA,NA,-0.106257782073853,NA,-0.0103876451367941,0.872686738295289,NA,1.70876453451076,5,-5497.31546311437,11004.6538007998,851.142392421953,7.28447826752412e-186
"49",1.01695043035139,NA,NA,NA,NA,-0.0106324620394496,0.878401640793432,NA,1.71061072264602,4,-5500.15436128389,11008.3239664702,854.81255809233,1.16260477625857e-186
"37",-1.44764285319005,NA,NA,-0.178425241514442,NA,NA,1.03852594949984,NA,1.76119154792348,4,-5576.7637928802,11161.5428296628,1008.03142128494,6.2284315907609e-220
"33",-1.77459221133407,NA,NA,NA,NA,NA,1.05494820014984,NA,1.76631961063486,3,-5584.40753134585,11174.8242055489,1021.31279717096,8.13513134327513e-223
"96",12.799713523643,0.00386642189741792,-0.00469305185737341,-0.271332984479751,-0.557745137773865,-0.0158348617495033,NA,-0.0225798948265342,1.86559364372692,8,-5728.16452259405,11472.3840070202,1318.87259864227,1.97730953894601e-287
"94",12.5429824950556,0.00427798525283619,NA,-0.268462390247558,-0.828894546989454,-0.0159534644699949,NA,-0.0217796896054074,1.87519866919168,7,-5741.66522796751,11497.3731877168,1343.86177933889,7.40871723483199e-293
"92",12.6712802717883,0.00387513562445767,-0.00463562897961831,NA,-0.567765923201715,-0.0167063896526164,NA,-0.0229800757544162,1.87669778292124,7,-5743.76612294425,11501.5749776703,1348.06356929238,9.06433450527599e-294
"88",12.6171619907989,0.00362001822236155,-0.00837310211725687,-0.278131807007972,NA,-0.0177440034202632,NA,-0.0179257610259371,1.88106198935316,7,-5749.87268885765,11513.7881094971,1360.27670111918,2.01970548332777e-296
"90",12.4190000220262,0.0042816247649533,NA,NA,-0.835527566405169,-0.0168144475737059,NA,-0.0221853767980887,1.88601580661652,6,-5756.78711632531,11525.6062692639,1372.09486088601,5.48286127964799e-299
"84",12.4820877485748,0.00362441430358506,-0.00838201913040037,NA,NA,-0.018672947772556,NA,-0.0182504012601723,1.89263767858763,6,-5766.00146704653,11544.0349707063,1390.52356232844,5.46091712237159e-303
