"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse","df","logLik","AICc","delta","weight"
"3",11.298261984607,NA,-0.015313444913491,NA,NA,NA,NA,NA,2.72433538499849,3,-17044.9877745605,34095.9789601499,8347.79890249239,0
"2",8.83260026889505,0.00475655525884527,NA,NA,NA,NA,NA,NA,2.72924717123123,3,-17057.6689741469,34121.3413593229,8373.16130166532,0
"66",8.87620829924815,0.00483098765328666,NA,NA,NA,NA,NA,-0.00214909693025699,2.72893174515573,4,-17056.8552963221,34121.7162785007,8373.53622084319,0
"81",10.316417371358,NA,NA,NA,NA,-0.0180084594278987,NA,0.0221916649898314,2.75883190422035,4,-17133.5711376965,34275.1479612495,8526.96790359198,0
"69",10.2666817691351,NA,NA,-0.514652436537063,NA,NA,NA,0.0167615664306862,2.7755811032707,4,-17176.1826020548,34360.3708899661,8612.19083230857,0
"9",11.1677068204347,NA,NA,NA,-1.31600069292903,NA,NA,NA,2.7852151015204,3,-17200.5760209242,34407.1554528775,8658.97539521993,0
"73",11.1707584884753,NA,NA,NA,-1.31689220811141,NA,NA,-7.80735221275801e-05,2.78521470146844,4,-17200.5750097399,34409.1557053362,8660.97564767862,0
"5",10.7608017028061,NA,NA,-0.530243060122645,NA,NA,NA,NA,2.79786758084448,3,-17232.4844170544,34470.9722451377,8722.79218748021,0
"17",10.9194588581071,NA,NA,NA,NA,-0.0177181649616342,NA,NA,2.79823380870869,3,-17233.4058600334,34472.8151310958,8724.63507343828,0
"65",9.30929081882384,NA,NA,NA,NA,NA,NA,0.0205329490736543,2.93707781615998,3,-17574.3299085209,35154.6632280708,9406.48317041323,0
"1",9.88297049359506,NA,NA,NA,NA,NA,NA,NA,2.96885538654663,2,-17650.0897408117,35304.1811868955,9556.00112923794,0
