"","(Intercept)","cont_area","elev_mean","prcp","slope_P","sweA1","tair","wetland","model.rmse.fall","df","logLik","AICc","delta","weight"
"92",10.2039535043207,0.00219479251688587,-0.0063985449335188,NA,-0.330393781874219,-0.00689650792378711,NA,-0.00197961760482314,2.57696855937728,7,-10434.451037942,20882.9275130859,5930.48925137433,0
"13",11.2395195396643,NA,NA,-0.398627962317447,-1.07193979877263,NA,NA,NA,2.58217832973403,4,-10443.3596057144,20894.7282899581,5942.29002824656,0
"77",11.1311002683516,NA,NA,-0.396688962096069,-1.04044089411235,NA,NA,0.00271537569779813,2.58165031409285,5,-10442.457532016,20894.9286849174,5942.49042320581,0
"20",10.1484821316938,0.00200771484106469,-0.00861198530153554,NA,NA,-0.00810299146652612,NA,NA,2.58231819999434,5,-10443.5985322835,20897.2106854523,5944.77242374075,0
"84",10.1287662330762,0.00198998783761339,-0.00854577299167068,NA,NA,-0.0081567403262522,NA,0.000746443185425719,2.58228208316488,6,-10443.5368387057,20899.0927509808,5946.65448926923,0
"85",10.3735918932538,NA,NA,-0.402274823356839,NA,-0.0129613460998805,NA,0.0203985374584549,2.5870025997839,5,-10451.5929647933,20913.199550472,5960.76128876042,0
"26",9.69126989303022,0.00293062861968829,NA,NA,-0.697377781566638,-0.00604908009616876,NA,NA,2.59524658400533,5,-10465.6271201519,20941.2678611892,5988.82959947768,0
"90",9.72230291427674,0.00296730886921647,NA,NA,-0.710886621187415,-0.00591807777629522,NA,-0.00122325895148301,2.59515793500616,6,-10465.4764456779,20942.9719649253,5990.53370321379,0
"76",9.98760423587808,0.00272270945700386,-0.00534578891757438,NA,-0.570673360878824,NA,NA,-0.00736484820052723,2.59805099853107,6,-10470.391058085,20952.8011897394,6000.36292802786,0
"12",9.74873311792125,0.00256212107478204,-0.00509128338674288,NA,-0.519000832835225,NA,NA,NA,2.6015371474864,5,-10476.305913229,20962.6254473433,6010.18718563176,0
"91",10.8311164814086,NA,-0.0103761554459417,NA,-0.143531020228143,-0.00942279247114645,NA,0.00493256925049874,2.60900787354061,6,-10488.9546457792,20989.9283651279,6037.49010341629,0
"83",10.7697930945148,NA,-0.0111907083522137,NA,NA,-0.00989265527113088,NA,0.00588700205315983,2.61005440416922,5,-10490.7236404449,20991.4609017752,6039.02264006362,0
"27",11.0178602173654,NA,-0.0107363319426179,NA,-0.185177078537874,-0.00903206530522559,NA,NA,2.61057702339846,5,-10491.6067801417,20993.2271811687,6040.7889194571,0
"74",9.60183920932861,0.00331947895397462,NA,NA,-0.866999982257493,NA,NA,-0.00606425903560747,2.61095875097814,5,-10492.2517246292,20994.5170701437,6042.0788084321,0
"19",10.9834291869684,NA,-0.0119450039485837,NA,NA,-0.00957097591976911,NA,NA,2.61242119586898,4,-10494.7217132755,20997.4525050802,6045.01424336867,0
"10",9.41873435132548,0.00316253597891058,NA,NA,-0.812376923662352,NA,NA,NA,2.61333111992204,4,-10496.2578270429,21000.524732615,6048.08647090342,0
"68",9.75908132610774,0.00250690723962837,-0.00923980525705524,NA,NA,NA,NA,-0.00389484626786474,2.61614029728952,5,-10500.9968461793,21012.007313244,6059.56905153239,0
"4",9.63855710853914,0.002428990869543,-0.00890444001330131,NA,NA,NA,NA,NA,2.61715217371816,4,-10502.702612485,21013.4143034992,6060.97604178765,0
"21",10.9489673357164,NA,NA,-0.422879195691167,NA,-0.0125127887077957,NA,NA,2.62273922725368,4,-10512.1091060928,21032.2272907149,6079.78902900339,0
"82",8.8917865054093,0.00315821649216917,NA,NA,NA,-0.00918617326850232,NA,0.00922704237724593,2.63471071084837,5,-10532.1972880153,21074.408196916,6121.96993520447,0
"18",9.0291185044484,0.00352118454784386,NA,NA,NA,-0.00856574454931566,NA,NA,2.64063512014043,4,-10542.1047258254,21092.2185301801,6139.78026846852,0
"11",10.7067949475997,NA,-0.0101820466872847,NA,-0.432155173857945,NA,NA,NA,2.65149425348458,4,-10560.2069682409,21128.423015011,6175.98475329946,0
"75",10.7329806206009,NA,-0.0102322931053865,NA,-0.436204891562735,NA,NA,-0.000645166704905821,2.65146653072979,5,-10560.1608486951,21130.3353182755,6177.89705656396,0
"3",10.5724350481382,NA,-0.0131627976004896,NA,NA,NA,NA,NA,2.662220353772,3,-10578.0148093184,21162.0350645183,6209.59680280673,0
"67",10.5089632225891,NA,-0.0129637265453117,NA,NA,NA,NA,0.00164282038497365,2.662035225954,4,-10577.7080626593,21163.4252038479,6210.98694213633,0
"89",10.2895204880124,NA,NA,NA,-0.796844444480557,-0.00923755172720195,NA,0.0115530436162287,2.66900998716098,5,-10589.2501479384,21188.5139167621,6236.07565505053,0
"66",8.35682370021016,0.00385435958224309,NA,NA,NA,NA,NA,0.00472955729130749,2.67717241651176,4,-10602.7193867798,21213.4478520888,6261.00959037725,0
"25",10.7021001581873,NA,NA,NA,-0.954865716683773,-0.00826187466101939,NA,NA,2.67782393622591,4,-10603.7927221414,21215.594522812,6263.15626110044,0
"2",8.44876333260783,0.00402182125092173,NA,NA,NA,NA,NA,NA,2.67875772868046,3,-10605.3306277746,21216.6667014308,6264.22843971922,0
"69",9.72265444555373,NA,NA,-0.406931592477565,NA,NA,NA,0.0185162855939617,2.68122966145772,4,-10609.3991807244,21226.8074399781,6274.36917826655,0
"73",10.2006510871694,NA,NA,NA,-1.07496057554059,NA,NA,0.00599345745886747,2.70893524181344,4,-10654.7448773441,21317.4988332175,6365.06057150591,0
"5",10.2671249842395,NA,NA,-0.425547880523967,NA,NA,NA,NA,2.7097765440972,3,-10656.1145698283,21318.2345855381,6365.79632382649,0
"9",10.431279741669,NA,NA,NA,-1.14527322347531,NA,NA,NA,2.71140047349264,3,-10658.7572257512,21323.519897384,6371.08163567246,0
"81",9.392508510359,NA,NA,NA,NA,-0.0131708000465093,NA,0.0242874031888362,2.71763808919007,4,-10668.8931401053,21345.7953587398,6393.35709702826,0
"17",10.0239107417404,NA,NA,NA,NA,-0.0126443606028058,NA,NA,2.76624159147772,3,-10747.084375127,21500.1741961355,6547.73593442394,0
"65",8.71938542600695,NA,NA,NA,NA,NA,NA,0.0224201303699208,2.8103800872178,3,-10816.9112279038,21639.8279016892,6687.38963997762,0
"1",9.32895352135442,NA,NA,NA,NA,NA,NA,NA,2.85062515569149,2,-10879.6294131619,21763.2615486468,6810.82328693519,0
