"agency_cd","site_no","Date","max_temp","max_temp_flag","min_temp","min_temp_flag","mean_temp","mean_temp_flag"
"USGS",15258000,2011-08-26,11.5,"A",11.5,"A",11.5,"A"
"USGS",15258000,2011-08-27,11.5,"A",11.5,"A",11.5,"A"
"USGS",15258000,2011-08-28,11.5,"A",10.5,"A",11,"A"
"USGS",15258000,2011-08-29,11.5,"A",11,"A",11,"A"
"USGS",15258000,2011-08-30,12,"A",11.5,"A",11.5,"A"
"USGS",15258000,2011-08-31,12,"A",11.5,"A",11.5,"A"
"USGS",15258000,2011-09-01,12,"A",10.5,"A",11,"A"
"USGS",15258000,2011-09-02,11.5,"A",11,"A",11.5,"A"
"USGS",15258000,2011-09-03,11,"A",11,"A",11,"A"
"USGS",15258000,2011-09-04,11,"A",11,"A",11,"A"
"USGS",15258000,2011-09-05,11,"A",11,"A",11,"A"
"USGS",15258000,2011-09-06,11,"A",10.5,"A",10.5,"A"
"USGS",15258000,2011-09-07,10.5,"A",10.5,"A",10.5,"A"
"USGS",15258000,2011-09-08,10.5,"A",10.5,"A",10.5,"A"
"USGS",15258000,2011-09-09,10.5,"A",10,"A",10,"A"
"USGS",15258000,2011-09-10,10.5,"A",10,"A",10.5,"A"
"USGS",15258000,2011-09-11,10.5,"A",10,"A",10.5,"A"
"USGS",15258000,2011-09-12,10.5,"A",10,"A",10.5,"A"
"USGS",15258000,2011-09-13,10.5,"A",10,"A",10,"A"
"USGS",15258000,2011-09-14,10,"A",10,"A",10,"A"
"USGS",15258000,2011-09-15,10,"A",10,"A",10,"A"
"USGS",15258000,2011-09-16,10,"A",10,"A",10,"A"
"USGS",15258000,2011-09-17,10,"A",10,"A",10,"A"
"USGS",15258000,2011-09-18,10,"A",9.5,"A",10,"A"
"USGS",15258000,2011-09-19,10,"A",9.5,"A",9.5,"A"
"USGS",15258000,2011-09-20,9.5,"A",9.5,"A",9.5,"A"
"USGS",15258000,2011-09-21,9.5,"A",8.5,"A",9.5,"A"
"USGS",15258000,2011-09-22,9.5,"A",8.5,"A",9,"A"
"USGS",15258000,2011-09-23,9,"A",8,"A",8.5,"A"
"USGS",15258000,2011-09-24,9.5,"A",8.5,"A",9,"A"
"USGS",15258000,2011-09-25,9,"A",9,"A",9,"A"
"USGS",15258000,2011-09-26,9,"A",8.5,"A",9,"A"
"USGS",15258000,2011-09-27,8.5,"A",8,"A",8,"A"
"USGS",15258000,2011-09-28,8.5,"A",8,"A",8.5,"A"
"USGS",15258000,2011-09-29,8.5,"A",7.5,"A",8,"A"
"USGS",15258000,2011-09-30,8.5,"A",7.5,"A",8,"A"
"USGS",15258000,2011-10-01,8.5,"A",8,"A",8,"A"
"USGS",15258000,2011-10-02,8,"A",7.5,"A",8,"A"
"USGS",15258000,2011-10-03,7.5,"A",7.5,"A",7.5,"A"
"USGS",15258000,2011-10-04,7.5,"A",7,"A",7.5,"A"
"USGS",15258000,2011-10-05,7.5,"A",7,"A",7.5,"A"
"USGS",15258000,2011-10-06,7.5,"A",7.5,"A",7.5,"A"
"USGS",15258000,2011-10-07,7.5,"A",7,"A",7.5,"A"
"USGS",15258000,2011-10-08,7.5,"A",7.5,"A",7.5,"A"
"USGS",15258000,2011-10-09,7.5,"A",7.5,"A",7.5,"A"
"USGS",15258000,2011-10-10,7.5,"A",7,"A",7,"A"
"USGS",15258000,2011-10-11,7,"A",7,"A",7,"A"
"USGS",15258000,2011-10-12,7,"A",6.5,"A",7,"A"
"USGS",15258000,2011-10-13,7,"A",6.5,"A",6.5,"A"
"USGS",15258000,2011-10-14,6.5,"A",6.5,"A",6.5,"A"
"USGS",15258000,2011-10-15,6.5,"A",6.5,"A",6.5,"A"
"USGS",15258000,2011-10-16,6.5,"A",6.5,"A",6.5,"A"
"USGS",15258000,2011-10-17,6.5,"A",6,"A",6.5,"A"
"USGS",15258000,2011-10-18,6.5,"A",6,"A",6.5,"A"
"USGS",15258000,2011-10-19,6.5,"A",6.5,"A",6.5,"A"
"USGS",15258000,2011-10-20,6.5,"A",6,"A",6,"A"
"USGS",15258000,2011-10-21,6,"A",6,"A",6,"A"
"USGS",15258000,2011-10-22,6,"A",6,"A",6,"A"
"USGS",15258000,2011-10-23,6,"A",6,"A",6,"A"
"USGS",15258000,2011-10-24,6,"A",6,"A",6,"A"
"USGS",15258000,2011-10-25,6,"A",5.5,"A",6,"A"
"USGS",15258000,2011-10-26,6,"A",5.5,"A",6,"A"
"USGS",15258000,2011-10-27,5.5,"A",5.5,"A",5.5,"A"
"USGS",15258000,2011-10-28,5.5,"A",5.5,"A",5.5,"A"
"USGS",15258000,2011-10-29,5.5,"A",5.5,"A",5.5,"A"
"USGS",15258000,2011-10-30,5.5,"A",5.5,"A",5.5,"A"
"USGS",15258000,2011-10-31,5.5,"A",5,"A",5,"A"
"USGS",15258000,2011-11-01,5,"A",5,"A",5,"A"
"USGS",15258000,2011-11-02,5,"A",5,"A",5,"A"
"USGS",15258000,2011-11-03,5,"A",4.5,"A",4.5,"A"
"USGS",15258000,2011-11-04,4.5,"A",4.5,"A",4.5,"A"
"USGS",15258000,2011-11-05,4.5,"A",4.5,"A",4.5,"A"
"USGS",15258000,2011-11-06,4.5,"A",4,"A",4.5,"A"
"USGS",15258000,2011-11-07,4.5,"A",4,"A",4,"A"
"USGS",15258000,2011-11-08,4,"A",4,"A",4,"A"
"USGS",15258000,2011-11-09,4,"A",4,"A",4,"A"
"USGS",15258000,2011-11-10,4,"A",3.5,"A",3.5,"A"
"USGS",15258000,2011-11-11,3.5,"A",3.5,"A",3.5,"A"
"USGS",15258000,2011-11-12,3.5,"A",3.5,"A",3.5,"A"
"USGS",15258000,2011-11-13,3.5,"A",3.5,"A",3.5,"A"
"USGS",15258000,2011-11-14,3.5,"A",3.5,"A",3.5,"A"
"USGS",15258000,2011-11-15,3.5,"A",3,"A",3.5,"A"
"USGS",15258000,2011-11-16,3,"A",2.5,"A",3,"A"
"USGS",15258000,2011-11-17,3,"A",2.5,"A",2.5,"A"
"USGS",15258000,2011-11-18,3,"A",2.5,"A",2.5,"A"
"USGS",15258000,2011-11-19,3,"A",2.5,"A",2.5,"A"
"USGS",15258000,2011-11-20,3,"A",2,"A",2,"A"
"USGS",15258000,2011-11-21,3,"A",2.5,"A",3,"A"
"USGS",15258000,2011-11-22,3,"A",2.5,"A",2.5,"A"
"USGS",15258000,2011-11-23,2.5,"A",2.5,"A",2.5,"A"
"USGS",15258000,2011-11-24,2.5,"A",2,"A",2,"A"
"USGS",15258000,2011-11-25,2,"A",2,"A",2,"A"
"USGS",15258000,2011-11-26,2,"A",2,"A",2,"A"
"USGS",15258000,2011-11-27,2,"A",2,"A",2,"A"
"USGS",15258000,2011-11-28,2.5,"A",2,"A",2,"A"
"USGS",15258000,2011-11-29,2.5,"A",2,"A",2,"A"
"USGS",15258000,2011-11-30,3,"A",2,"A",2.5,"A"
"USGS",15258000,2011-12-01,3,"A",2.5,"A",2.5,"A"
"USGS",15258000,2011-12-02,2.5,"A",2.5,"A",2.5,"A"
"USGS",15258000,2011-12-03,2.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-12-04,2.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-12-05,2.5,"A",2.5,"A",2.5,"A"
"USGS",15258000,2011-12-06,2.5,"A",2.5,"A",2.5,"A"
"USGS",15258000,2011-12-07,2.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-12-08,2.5,"A",2,"A",2,"A"
"USGS",15258000,2011-12-09,2.5,"A",2,"A",2,"A"
"USGS",15258000,2011-12-10,2.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-12-11,2.5,"A",2,"A",2.5,"A"
"USGS",15258000,2011-12-12,2,"A",2,"A",2,"A"
"USGS",15258000,2011-12-13,2,"A",2,"A",2,"A"
