sampleDate,sampleTime,Temperatue
10/17/2017,7:00:00,34.615
10/17/2017,7:15:00,34.565
10/17/2017,7:30:00,34.516
10/17/2017,7:45:00,34.468
10/17/2017,8:00:00,34.468
10/17/2017,8:15:00,34.371
10/17/2017,8:30:00,34.32
10/17/2017,8:45:00,34.272
10/17/2017,9:00:00,34.272
10/17/2017,9:15:00,34.223
10/17/2017,9:30:00,34.174
10/17/2017,9:45:00,34.124
10/17/2017,10:00:00,34.075
10/17/2017,10:15:00,34.075
10/17/2017,10:30:00,34.075
10/17/2017,10:45:00,34.075
10/17/2017,11:00:00,34.124
10/17/2017,11:15:00,34.124
10/17/2017,11:30:00,34.174
10/17/2017,11:45:00,34.174
10/17/2017,12:00:00,34.174
10/17/2017,12:15:00,34.223
10/17/2017,12:30:00,34.223
10/17/2017,12:45:00,34.272
10/17/2017,13:00:00,34.272
10/17/2017,13:15:00,34.32
10/17/2017,13:30:00,34.32
10/17/2017,13:45:00,34.371
10/17/2017,14:00:00,34.371
10/17/2017,14:15:00,34.371
10/17/2017,14:30:00,34.419
10/17/2017,14:45:00,34.468
10/17/2017,15:00:00,34.468
10/17/2017,15:15:00,34.468
10/17/2017,15:30:00,34.516
10/17/2017,15:45:00,34.565
10/17/2017,16:00:00,34.565
10/17/2017,16:15:00,34.565
10/17/2017,16:30:00,34.565
10/17/2017,16:45:00,34.565
10/17/2017,17:00:00,34.615
10/17/2017,17:15:00,34.615
10/17/2017,17:30:00,34.615
10/17/2017,17:45:00,34.615
10/17/2017,18:00:00,34.615
10/17/2017,18:15:00,34.615
10/17/2017,18:30:00,34.615
10/17/2017,18:45:00,34.615
10/17/2017,19:00:00,34.615
10/17/2017,19:15:00,34.664
10/17/2017,19:30:00,34.615
10/17/2017,19:45:00,34.615
10/17/2017,20:00:00,34.615
10/17/2017,20:15:00,34.615
10/17/2017,20:30:00,34.615
10/17/2017,20:45:00,34.615
10/17/2017,21:00:00,34.615
10/17/2017,21:15:00,34.615
10/17/2017,21:30:00,34.615
10/17/2017,21:45:00,34.664
10/17/2017,22:00:00,34.664
10/17/2017,22:15:00,34.664
10/17/2017,22:30:00,34.664
10/17/2017,22:45:00,34.664
10/17/2017,23:00:00,34.664
10/17/2017,23:15:00,34.664
10/17/2017,23:30:00,34.664
10/17/2017,23:45:00,34.664
10/18/2017,0:00:00,34.664
10/18/2017,0:15:00,34.664
10/18/2017,0:30:00,34.664
10/18/2017,0:45:00,34.664
10/18/2017,1:00:00,34.615
10/18/2017,1:15:00,34.565
10/18/2017,1:30:00,34.565
10/18/2017,1:45:00,34.516
10/18/2017,2:00:00,34.468
10/18/2017,2:15:00,34.468
10/18/2017,2:30:00,34.419
10/18/2017,2:45:00,34.419
10/18/2017,3:00:00,34.371
10/18/2017,3:15:00,34.32
10/18/2017,3:30:00,34.272
10/18/2017,3:45:00,34.272
10/18/2017,4:00:00,34.223
10/18/2017,4:15:00,34.174
10/18/2017,4:30:00,34.174
10/18/2017,4:45:00,34.124
10/18/2017,5:00:00,34.075
10/18/2017,5:15:00,34.075
10/18/2017,5:30:00,34.027
10/18/2017,5:45:00,33.978
10/18/2017,6:00:00,33.928
10/18/2017,6:15:00,33.879
10/18/2017,6:30:00,33.879
10/18/2017,6:45:00,33.831
10/18/2017,7:00:00,33.831
10/18/2017,7:15:00,33.78
10/18/2017,7:30:00,33.732
10/18/2017,7:45:00,33.681
10/18/2017,8:00:00,33.681
10/18/2017,8:15:00,33.633
10/18/2017,8:30:00,33.633
10/18/2017,8:45:00,33.584
10/18/2017,9:00:00,33.534
10/18/2017,9:15:00,33.485
10/18/2017,9:30:00,33.485
10/18/2017,9:45:00,33.485
10/18/2017,10:00:00,33.435
10/18/2017,10:15:00,33.435
10/18/2017,10:30:00,33.435
10/18/2017,10:45:00,33.435
10/18/2017,11:00:00,33.435
10/18/2017,11:15:00,33.485
10/18/2017,11:30:00,33.485
10/18/2017,11:45:00,33.485
10/18/2017,12:00:00,33.534
10/18/2017,12:15:00,33.534
10/18/2017,12:30:00,33.584
10/18/2017,12:45:00,33.584
10/18/2017,13:00:00,33.633
10/18/2017,13:15:00,33.633
10/18/2017,13:30:00,33.681
10/18/2017,13:45:00,33.681
10/18/2017,14:00:00,33.681
10/18/2017,14:15:00,33.732
10/18/2017,14:30:00,33.78
10/18/2017,14:45:00,33.831
10/18/2017,15:00:00,33.831
10/18/2017,15:15:00,33.879
10/18/2017,15:30:00,33.879
10/18/2017,15:45:00,33.928
10/18/2017,16:00:00,33.928
10/18/2017,16:15:00,33.978
10/18/2017,16:30:00,33.978
10/18/2017,16:45:00,33.978
10/18/2017,17:00:00,34.027
10/18/2017,17:15:00,34.027
10/18/2017,17:30:00,34.027
10/18/2017,17:45:00,34.027
10/18/2017,18:00:00,34.027
10/18/2017,18:15:00,34.027
10/18/2017,18:30:00,33.978
10/18/2017,18:45:00,33.978
10/18/2017,19:00:00,33.978
10/18/2017,19:15:00,33.928
10/18/2017,19:30:00,33.879
10/18/2017,19:45:00,33.831
10/18/2017,20:00:00,33.78
10/18/2017,20:15:00,33.78
10/18/2017,20:30:00,33.78
10/18/2017,20:45:00,33.78
10/18/2017,21:00:00,33.78
10/18/2017,21:15:00,33.78
10/18/2017,21:30:00,33.78
10/18/2017,21:45:00,33.831
10/18/2017,22:00:00,33.831
10/18/2017,22:15:00,33.831
10/18/2017,22:30:00,33.879
10/18/2017,22:45:00,33.879
10/18/2017,23:00:00,33.928
10/18/2017,23:15:00,33.928
10/18/2017,23:30:00,33.978
10/18/2017,23:45:00,33.978
10/19/2017,0:00:00,34.027
10/19/2017,0:15:00,34.027
10/19/2017,0:30:00,34.075
10/19/2017,0:45:00,34.075
10/19/2017,1:00:00,34.075
10/19/2017,1:15:00,34.124
10/19/2017,1:30:00,34.124
10/19/2017,1:45:00,34.124
10/19/2017,2:00:00,34.124
10/19/2017,2:15:00,34.124
10/19/2017,2:30:00,34.124
10/19/2017,2:45:00,34.124
10/19/2017,3:00:00,34.124
10/19/2017,3:15:00,34.124
10/19/2017,3:30:00,34.075
10/19/2017,3:45:00,34.075
10/19/2017,4:00:00,34.075
10/19/2017,4:15:00,34.075
10/19/2017,4:30:00,34.075
10/19/2017,4:45:00,34.075
10/19/2017,5:00:00,34.027
10/19/2017,5:15:00,34.027
10/19/2017,5:30:00,34.027
10/19/2017,5:45:00,34.027
10/19/2017,6:00:00,33.978
10/19/2017,6:15:00,33.978
10/19/2017,6:30:00,33.978
10/19/2017,6:45:00,33.978
10/19/2017,7:00:00,33.978
10/19/2017,7:15:00,33.978
10/19/2017,7:30:00,33.978
10/19/2017,7:45:00,33.978
10/19/2017,8:00:00,33.978
10/19/2017,8:15:00,33.928
10/19/2017,8:30:00,33.928
10/19/2017,8:45:00,33.928
10/19/2017,9:00:00,33.928
10/19/2017,9:15:00,33.928
10/19/2017,9:30:00,33.879
10/19/2017,9:45:00,33.879
10/19/2017,10:00:00,33.879
10/19/2017,10:15:00,33.879
10/19/2017,10:30:00,33.879
10/19/2017,10:45:00,33.879
10/19/2017,11:00:00,33.879
10/19/2017,11:15:00,33.879
10/19/2017,11:30:00,33.879
10/19/2017,11:45:00,33.928
