HYDROLAB MS5 64823,,,,,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_062016_071816,,,,,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 062016,,,,,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 094853,,,,,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 062016,,,,,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 100000,,,,,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 071816,,,,,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000030,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Time,,Temp,,pH,,Sal,,TurbSC,,LDO%,,IBatt,,SpCond,,LDO,,BP
MMDDYY,HHMMSS,,øC,,Units,,ppt,,NTU,,Sat,,Volts,,æS/cm,,mg/l,,mmHg
,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 202938,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 202943,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 202943,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 202948,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 202948,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 202953,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 202953,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 202958,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 202958,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 204433,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 204433,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 204438,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 204438,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 204443,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 204443,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 204448,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 204448,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 204453,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 204453,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 062016 204458,,,,,,,,,,,,,,,,,,,
Late probe turn on at 062016 204458,,,,,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 071516 114911,,,,,,,,,,,,,,,,,,,
7/15/2016,12:00:00,,19.37,,7.48,,-0.01,,0,,115.6,,11.8,,0,,8.9,,638
Parameter setup or calibration changed at 071516 120310,,,,,,,,,,,,,,,,,,,
7/15/2016,12:15:00,,22.07,,7.06,,2.53,,2.3,,115.3,,11.8,,4621,,8.29,,638
Recovery finished at 071516 122830,,,,,,,,,,,,,,,,,,,
