Hydrolab MS5 46440,,,,,,,,,,,,,,,
Log File Name : Ptarmigan_081116_082616,,,,,,,,,,,,,,,
Setup Date (MMDDYY) : 080916,,,,,,,,,,,,,,,
Setup Time (HHMMSS) : 144608,,,,,,,,,,,,,,,
Starting Date (MMDDYY) : 081116,,,,,,,,,,,,,,,
Starting Time (HHMMSS) : 080000,,,,,,,,,,,,,,,
Stopping Date (MMDDYY) : 082616,,,,,,,,,,,,,,,
Stopping Time (HHMMSS) : 235959,,,,,,,,,,,,,,,
Interval (HHMMSS) : 001500,,,,,,,,,,,,,,,
Sensor warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,
Circltr warmup (HHMMSS) : 000100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Time,,Temp,,LDO,,SpCond,,pH,,TurbSC,,IBatt,,LDO%
MMDDYY,HHMMSS,,øC,,mg/l,,æS/cm,,Units,,NTU,,Volts,,Sat
,,,,,,,,,,,,,,,
Power loss from 010170 000000 to 081116 095903,,,,,,,,,,,,,,,
Late probe turn on at 081116 095903,,,,,,,,,,,,,,,
8/12/2016,19:45:00,,12.62,,10.34,,96.7,,7.93,,3.1,,11.6,,116.2
8/12/2016,20:00:00,,12.61,,10.34,,97,,7.93,,3.5,,11.6,,116.2
8/12/2016,20:15:00,,12.63,,10.29,,96.9,,7.91,,2.5,,11.6,,115.7
8/12/2016,20:30:00,,12.65,,10.33,,96.9,,7.91,,2.5,,11.6,,116.2
8/12/2016,20:45:00,,12.67,,10.3,,96.6,,7.9,,2,,11.6,,115.9
8/12/2016,21:00:00,,12.68,,10.25,,96.8,,7.9,,3,,11.6,,115.4
8/12/2016,21:15:00,,12.67,,10.26,,96.7,,7.88,,2.7,,11.6,,115.4
8/12/2016,21:30:00,,12.66,,10.29,,96.8,,7.88,,2.5,,11.6,,115.8
8/12/2016,21:45:00,,12.65,,10.3,,97,,7.87,,2.2,,11.6,,115.8
8/12/2016,22:00:00,,12.64,,10.26,,97.1,,7.87,,2.1,,11.6,,115.4
8/12/2016,22:15:00,,12.61,,10.26,,97,,7.85,,2.8,,11.6,,115.3
8/12/2016,22:30:00,,12.57,,10.26,,97,,7.86,,2.5,,11.6,,115.2
8/12/2016,22:45:00,,12.53,,10.29,,97,,7.85,,2.5,,11.6,,115.5
8/12/2016,23:00:00,,12.46,,10.29,,96.7,,7.85,,3.2,,11.6,,115.3
8/12/2016,23:15:00,,12.39,,10.28,,95,,7.84,,3.4,,11.6,,115
8/12/2016,23:30:00,,12.31,,10.33,,97,,7.81,,3.3,,11.6,,115.3
8/12/2016,23:45:00,,12.25,,10.34,,96.7,,7.82,,3.2,,11.6,,115.2
8/13/2016,0:00:00,,12.22,,10.36,,96.6,,7.82,,6.9,,11.6,,115.4
8/13/2016,0:15:00,,12.19,,10.35,,96.7,,7.81,,3.5,,11.6,,115.3
8/13/2016,0:30:00,,12.16,,10.36,,96.7,,7.8,,3.3,,11.6,,115.3
8/13/2016,0:45:00,,12.14,,10.36,,96.9,,7.8,,3.1,,11.6,,115.2
8/13/2016,1:00:00,,12.12,,10.38,,96.9,,7.79,,3.5,,11.6,,115.3
8/13/2016,1:15:00,,12.1,,10.36,,97,,7.79,,3.6,,11.6,,115.1
8/13/2016,1:30:00,,12.1,,10.32,,96.9,,7.78,,3.3,,11.6,,114.7
8/13/2016,1:45:00,,12.1,,10.39,,96.7,,7.78,,2.9,,11.6,,115.4
8/13/2016,2:00:00,,12.1,,10.36,,96.6,,7.78,,3.1,,11.6,,115.1
8/13/2016,2:15:00,,12.09,,10.29,,96.6,,7.78,,3.1,,11.6,,114.3
8/13/2016,2:30:00,,12.09,,10.34,,96.8,,7.78,,4,,11.6,,114.8
8/13/2016,2:45:00,,12.09,,10.3,,96.7,,7.78,,3.4,,11.6,,114.4
8/13/2016,3:00:00,,12.09,,10.31,,96.7,,7.78,,3.6,,11.6,,114.5
8/13/2016,3:15:00,,12.09,,10.36,,96.6,,7.77,,3.8,,11.6,,115
8/13/2016,3:30:00,,12.09,,10.32,,96.7,,7.77,,3.6,,11.6,,114.6
8/13/2016,3:45:00,,12.07,,10.34,,96.4,,7.77,,3.6,,11.6,,114.7
8/13/2016,4:00:00,,12.05,,10.4,,96.5,,7.77,,3.9,,11.6,,115.3
8/13/2016,4:15:00,,12.03,,10.36,,96.6,,7.77,,3.7,,11.6,,114.9
8/13/2016,4:30:00,,12,,10.36,,96.7,,7.78,,3.6,,11.6,,114.8
8/13/2016,4:45:00,,11.98,,10.37,,96.8,,7.77,,4,,11.6,,114.9
8/13/2016,5:00:00,,11.96,,10.39,,96.6,,7.77,,3.6,,11.6,,115
8/13/2016,5:15:00,,11.94,,10.33,,96.9,,7.77,,3.9,,11.6,,114.4
8/13/2016,5:30:00,,11.93,,10.36,,96.9,,7.78,,3.8,,11.6,,114.6
8/13/2016,5:45:00,,11.93,,10.39,,96.9,,7.78,,4.5,,11.6,,115
8/13/2016,6:00:00,,11.93,,10.43,,96.8,,7.79,,3.6,,11.6,,115.4
8/13/2016,6:15:00,,11.93,,10.37,,96.8,,7.79,,3.9,,11.6,,114.7
8/13/2016,6:30:00,,11.91,,10.38,,96.8,,7.8,,5.5,,11.6,,114.8
8/13/2016,6:45:00,,11.88,,10.4,,96.5,,7.8,,4.4,,11.6,,115
8/13/2016,7:00:00,,11.86,,10.4,,95.9,,7.81,,5.2,,11.6,,114.9
8/13/2016,7:15:00,,11.84,,10.42,,96.4,,7.8,,4.9,,11.6,,115
8/13/2016,7:30:00,,11.81,,10.4,,96.4,,7.82,,4.3,,11.6,,114.7
8/13/2016,7:45:00,,11.78,,10.43,,96.6,,7.82,,5.3,,11.6,,115
8/13/2016,8:00:00,,11.74,,10.43,,96.1,,7.81,,5.7,,11.6,,115
8/13/2016,8:15:00,,11.7,,10.45,,96.5,,7.81,,5.3,,11.6,,115
8/13/2016,8:30:00,,11.65,,10.47,,96.3,,7.81,,4.8,,11.6,,115.1
8/13/2016,8:45:00,,11.61,,10.44,,96.6,,7.8,,4.9,,11.6,,114.7
8/13/2016,9:00:00,,11.57,,10.52,,96.7,,7.81,,5,,11.6,,115.5
8/13/2016,9:15:00,,11.54,,10.5,,96.4,,7.81,,6.5,,11.6,,115.1
8/13/2016,9:30:00,,11.52,,10.48,,96.4,,7.81,,5.5,,11.6,,114.8
8/13/2016,9:45:00,,11.51,,10.57,,96.7,,7.81,,6.3,,11.6,,115.8
8/13/2016,10:00:00,,11.51,,10.51,,96.4,,7.82,,5.4,,11.6,,115.2
8/13/2016,10:15:00,,11.52,,10.57,,96.4,,7.84,,4.9,,11.6,,115.8
8/13/2016,10:30:00,,11.54,,10.55,,96.6,,7.85,,6,,11.6,,115.7
8/13/2016,10:45:00,,11.58,,10.54,,96.4,,7.87,,5.1,,11.6,,115.6
8/13/2016,11:00:00,,11.6,,10.63,,96.4,,7.87,,5.3,,11.6,,116.7
8/13/2016,11:15:00,,11.62,,10.56,,96.5,,7.89,,6.3,,11.6,,116
8/13/2016,11:30:00,,11.63,,10.57,,96.2,,7.91,,5.9,,11.6,,116.2
8/13/2016,11:45:00,,11.64,,10.54,,94.5,,7.91,,5.8,,11.6,,115.8
8/13/2016,12:00:00,,11.63,,10.55,,96.3,,7.92,,5.4,,11.6,,115.9
8/13/2016,12:15:00,,11.61,,10.59,,96.5,,7.92,,6.2,,11.6,,116.3
8/13/2016,12:30:00,,11.59,,10.6,,96.5,,7.92,,5.9,,11.6,,116.4
8/13/2016,12:45:00,,11.58,,10.56,,96.6,,7.92,,6.1,,11.6,,115.9
8/13/2016,13:00:00,,11.58,,10.62,,96.4,,7.93,,5.8,,11.6,,116.6
8/13/2016,13:15:00,,11.59,,10.61,,96.6,,7.94,,5.6,,11.6,,116.5
8/13/2016,13:30:00,,11.6,,10.61,,96.7,,7.93,,5.6,,11.6,,116.6
8/13/2016,13:45:00,,11.62,,10.6,,96.4,,7.94,,5.9,,11.6,,116.5
8/13/2016,14:00:00,,11.65,,10.59,,96.3,,7.94,,7.5,,11.6,,116.4
